Global Land Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
198402,-0.0536
198403,0.3806
198404,0.0707
198405,0.5734
198406,0.1146
198407,0.0462
198408,0.1460
198409,-0.1159
198410,0.0549
198411,-0.2456
198412,-0.7351
198501,0.2318
198502,-0.4250
198503,0.2566
198504,0.2563
198505,0.2764
198506,0.1068
198507,-0.1244
198508,0.1571
198509,-0.0851
198510,0.0389
198511,-0.0310
198512,0.1822
198601,0.7548
198602,0.4776
198603,0.5954
198604,0.4666
198605,0.3782
198606,0.3261
198607,0.0585
198608,0.1068
198609,0.0078
198610,0.0438
198611,-0.0400
198612,0.1419
198701,0.4355
198702,1.1085
198703,0.0568
198704,0.2573
198705,0.3737
198706,0.2735
198707,0.5449
198708,0.3250
198709,0.4278
198710,0.1356
198711,0.0376
198712,0.9005
198801,0.8002
198802,0.2730
198803,0.6935
198804,0.6392
198805,0.5083
198806,0.6362
198807,0.4888
198808,0.4353
198809,0.4657
198810,0.4349
198811,0.3887
198812,0.8559
198901,0.2814
198902,0.5378
198903,0.6683
198904,0.3765
198905,0.3682
198906,0.2788
198907,0.2860
198908,0.2671
198909,0.2713
198910,0.3858
198911,0.1653
198912,0.7487
199001,0.5347
199002,0.5648
199003,1.6527
199004,0.7622
199005,0.5212
199006,0.5365
199007,0.1964
199008,0.3058
199009,0.2355
199010,0.5191
199011,0.7099
199012,0.6298
199101,0.6899
199102,0.7828
199103,0.3774
199104,0.7908
199105,0.4696
199106,0.6355
199107,0.4865
199108,0.3903
199109,0.5282
199110,0.4328
199111,0.3892
199112,0.3402
199201,0.9704
199202,0.8211
199203,0.7195
199204,0.1918
199205,0.2923
199206,0.1691
199207,-0.1551
199208,-0.0448
199209,-0.2880
199210,-0.0404
199211,-0.0929
199212,0.4993
199301,0.6972
199302,0.7158
199303,0.8281
199304,0.3861
199305,0.3911
199306,0.2716
199307,0.1847
199308,0.1676
199309,-0.0282
199310,0.2455
199311,-0.2884
199312,0.5453
199401,0.4161
199402,-0.3428
199403,0.6450
199404,0.5801
199405,0.5758
199406,0.6089
199407,0.3265
199408,0.2817
199409,0.4012
199410,0.6319
199411,0.7101
199412,0.4830
199501,1.0499
199502,1.5392
199503,0.7628
199504,0.5882
199505,0.4153
199506,0.7241
199507,0.5343
199508,0.8189
199509,0.6148
199510,0.7675
199511,0.7893
199512,0.5331
199601,0.2187
199602,0.7910
199603,0.2629
199604,0.0967
199605,0.5560
199606,0.3849
199607,0.3806
199608,0.2728
199609,0.1542
199610,0.1249
199611,0.2330
199612,0.6133
199701,0.6392
199702,0.7538
199703,0.7620
199704,0.7132
199705,0.4213
199706,0.6293
199707,0.5437
199708,0.5933
199709,0.7690
199710,0.8398
199711,0.6280
199712,0.7348
199801,0.7121
199802,1.6834
199803,0.8844
199804,1.1907
199805,0.9060
199806,0.8604
199807,1.1057
199808,1.0257
199809,0.7674
199810,0.7246
199811,0.3457
199812,1.1227
199901,0.9915
199902,1.6495
199903,0.3510
199904,0.7619
199905,0.6343
199906,0.6245
199907,0.6382
199908,0.5125
199909,0.6534
199910,0.6514
199911,0.6219
199912,1.3359
200001,0.4960
200002,1.0718
200003,1.1188
200004,1.3440
200005,0.7699
200006,0.6045
200007,0.4920
200008,0.6655
200009,0.5386
200010,0.1680
200011,0.0076
200012,0.2325
200101,0.7626
200102,0.4632
200103,1.1595
200104,0.9079
200105,0.9630
200106,0.6916
200107,0.7266
200108,0.9163
200109,0.5889
200110,0.5478
200111,1.2856
200112,0.6675
200201,1.4197
200202,1.6714
200203,1.4942
200204,0.7452
200205,0.7066
200206,0.7761
200207,0.9743
200208,0.7252
200209,0.7811
200210,0.4721
200211,0.9591
200212,0.3252
200301,1.2793
200302,0.8434
200303,0.7650
200304,0.7845
200305,0.8940
200306,0.6606
200307,0.5451
200308,0.7605
200309,0.7887
200310,1.0962
200311,0.7039
200312,1.3885
200401,0.8860
200402,1.3016
200403,1.2624
200404,0.8612
200405,0.4545
200406,0.5315
200407,0.4150
200408,0.4669
200409,0.5676
200410,0.8287
200411,1.4021
200412,0.5658
200501,0.9813
200502,0.6090
200503,1.2347
200504,1.3246
200505,0.9646
200506,0.9928
200507,0.8848
200508,0.7354
200509,1.0496
200510,1.1415
200511,1.3678
200512,1.0789
200601,0.5054
200602,1.1016
200603,1.0507
200604,0.6732
200605,0.6817
200606,0.9847
200607,0.8573
200608,0.8086
200609,0.7979
200610,1.0184
200611,0.8492
200612,1.4190
200701,1.8434
200702,1.1143
200703,1.2541
200704,1.4902
200705,1.0584
200706,0.7142
200707,0.7132
200708,0.8361
200709,0.9398
200710,0.9860
200711,1.0437
200712,0.9810
200801,0.1746
200802,0.5510
200803,1.8965
200804,0.7806
200805,0.7427
200806,0.7530
200807,0.7870
200808,0.6750
200809,0.5735
200810,1.1004
200811,1.2767
200812,0.8608
200901,1.0216
200902,0.9993
200903,0.9622
200904,1.1179
200905,0.7251
200906,0.7622
200907,0.6262
200908,0.8618
200909,1.0678
200910,0.8248
200911,0.8555
200912,0.5352
201001,0.9031
201002,0.9637
201003,1.4394
201004,1.3414
201005,1.1438
201006,1.0965
201007,1.0878
201008,0.9102
201009,0.7036
201010,1.0380
201011,1.6009
201012,0.6045
201101,0.5524
201102,0.6308
201103,0.9526
201104,1.2044
201105,0.8212
201106,0.9731
201107,0.9427
201108,0.9061
201109,0.9399
201110,1.1410
201111,0.6265
201112,0.9704
201201,0.5230
201202,0.4153
201203,0.7918
201204,1.4723
201205,1.2806
201206,1.1856
201207,0.9766
201208,0.8347
201209,0.9960
201210,0.9724
201211,1.1149
201212,0.2772
201301,0.9042
201302,1.1177
201303,1.0287
201304,0.7099
201305,1.1549
201306,1.0396
201307,0.7786
201308,0.7187
201309,0.8932
201310,0.9094
201311,1.4543
201312,1.1289
201401,1.1494
201402,0.3353
201403,1.3492
201404,1.3238
201405,1.1626
201406,0.9652
201407,0.7284
201408,0.9551
201409,0.8802
201410,1.0045
201411,0.7982
201412,1.3481
